area_construida,area_util,bairro,cep,condominio,data,descricao,id,municipio,n_quartos,preco,tipo,titulo,url,vagas_garagem
,,Jardim Cidade Universitária,58052-150,,2017-12-04,"VARANDA,2 QUARTOS,1 SUÍTE,WC SOCIAL,SALA PARA 2 AMBIENTES,COZINHA,ÁREA DE SERVIÇO E 1 VAGA DE GARAGEM.ÓTIMA LOCALIZAÇÃO,PERTO DO EXTRA,3º ANDARCONTATO PELO FONE E WHATSAPP 98779-7219",422829458,João Pessoa,2,850,Aluguel - apartamento padrão,Apartamento nos bancários,http://pb.olx.com.br/paraiba/imoveis/apartamento-nos-bancarios-422829458,1
,100,Manaíra,58038-411,,2017-12-04,"Excelente apartamento no Residencial Recanto das Artes, 13º andar, medindo 100m² PRONTO PARA MORAR!O apartamento possui:-Sala para dois ambientes;-Cozinha com móveis planejados e mesa em mármore;-Três quartos sendo uma suíte com closet;-Dependência completa de empregada;-WC social;-Varanda com vista para o mar;-REDES de proteção nas janelas dos quartos e varanda.-Gás e água (proveniente de poço artesiano) coletivos já inclusos na taxa de condomínio.-Duas vagas de garagemTambém possui antena de TV coletiva, com sinal analógico e digital de todos os canais abertos. Há opção de plano coletivo de TV, internet e telefone da NET para o bloco.O acesso à garagem é identificado através de controles individuais;Na melhor localização do bairro de Miramar, entre a Av. Ruy Carneiro e a Av. Epitácio Pessoa, mais precisamente, de frente para o Centro de Línguas. A poucos metros dos colégio Geo e Motiva, empresarial Eco Medical, farmácias e outras clínicas particulares e paradas de ônibus;O condomínio com quatro torres de quinze andares cada, área de lazer aproximadamente com 6.000m² possui quatro piscinas, quadra de esportes, salão de jogos, salão de festas, duas guaritas com porteiros 24h, segurança noturna, gás canalizado natural, gerador, água de poço tratada/potável, duas vagas de garagem por apartamento, central de interfone digital interligando todos os apartamentos dos quatro blocos e sinal de internet WiFi na área comum do condomínio e coleta seletiva de lixo;VALOR: R$1.900 MENSAIS. A TAXA DE CONDOMÍNIO, IPTU E TCR JÁ ESTÃO INCLUÍDOS NO VALOR APRESENTADO.Contato pelos telefones:83-999771778 (TIM/WHATSAPP)83-988187555 (Oi)83-993374223 (Claro)Tratar com SebastianaOu pelo chat do próprio OLX (estou praticamente sempre online).",419249233,João Pessoa,4,1900,Aluguel - apartamento padrão,"Apartamento no Residencial Recanto das Artes, 13º andar, 100m², Pronto para morar",http://pb.olx.com.br/paraiba/imoveis/apartamento-no-residencial-recanto-das-artes-13-andar-100m-pronto-para-morar-419249233,2
,110,Jardim Oceania,58037-715,R$ 0,2017-12-04,alugo apartamento com excelente localizaçao. 3 quartos. 2 suitessala. varanda. cizinha ampla. area de serviço e despensa.bem ventilado,422821869,João Pessoa,3,1350,Aluguel - apartamento padrão,Alugo apto no Jd Oceania,http://pb.olx.com.br/paraiba/imoveis/alugo-apto-no-jd-oceania-422821869,1
60,,Alto do Mateus,58100-000,,2017-12-04,"Casa dois quartos , sala , cozinha , banheiro, quintal e garagem, wc social. alugar contrato de 1 ano , campina grande pb próximo ao dona lindu ufcg medicina e a uepb no aucio abaixo esta João Pessoa mais a casa e em, (campina grande pb).bairro universitário bodocongo.",422824107,João Pessoa,2,400,Aluguel - casa em rua pública,0000000,http://pb.olx.com.br/paraiba/imoveis/0000000-422824107,1
,38,Cabo Branco,58045-010,R$ 400,2017-12-04,R$:1.500 com condomínioExcelente Flat para locação (Anual) no Cabo BrancoMobiliadoNovoA beira mar do Cabo BrancoPrédio com portaria 24 horas e piscina na coberturaMaiores informações83 9 9986 9163Flávia DinizCreci 4401,422846094,João Pessoa,1,1100,Aluguel - apartamento padrão,Flat mobiliado beira mar do Cabo Branco,http://pb.olx.com.br/paraiba/imoveis/flat-mobiliado-beira-mar-do-cabo-branco-422846094,1
,,Jardim Cidade Universitária,58052-200,,2017-12-04,"2 QUARTOS,WC SOCIAL,SALA PARA 2 AMBIENTES,COZINHA,ÁREA DE SERVIÇO E 1 VAGA DE GARAGEM.PERTO DO EXTRA,RUA CALÇADA,ÓTIMA LOCALIZAÇÃOCONTATO PELO FONE E WHATSAPP 98779-7219",422833948,João Pessoa,2,850,Aluguel - apartamento padrão,Apartamento nos bancários com elevador,http://pb.olx.com.br/paraiba/imoveis/apartamento-nos-bancarios-com-elevador-422833948,1
,38,Cabo Branco,58045-010,R$ 400,2017-12-04,"PACOTE LOCAÇÃO- R$1.500 COM O CONDOMÍNIOMAIORES INFORMAÇÕES 83 9 9986 9163 FLAVIA DINIZApartamento mobiliado, a poucos metros da Epitácio Pessoa e a 300 metros do marPosição nascente sulVarandaPrédio com portaria 24 horas, área de lazer na cobertura, elevadorOBS: NÃO FAZ TEMPORADA.Imperial Home Service em Avenida Índio Arabutan, 520 no bairro Cabo Branco.Documentação para locação:RG, CPF, COMPROVANTE DE RENDA E RESIDÊNCIA, CERTIDÃO DE ESTADO CIVIL (SE FOR CASADO, RG E CPF DO CONJUJE) E CERTIDÃO DE CASAMENTOFIADOR (MESMA DOCUMENTAÇÃO) OU CAUÇÃO (TITULO DE CAPITALIZAÇÃO)",422831574,João Pessoa,1,1100,Aluguel - apartamento padrão,Apartamento mobiliado no Cabo Branco,http://pb.olx.com.br/paraiba/imoveis/apartamento-mobiliado-no-cabo-branco-422831574,1
95,,José Américo De Almeida,58074-104,R$ 0,2017-12-04,"Sobrado de esquina em principal do Agua Fria, reformado a menos de 2 anos, portas e janelas no blindex, banheiros no blindex, suite,portão eletrônico, cerca elétrica. Falar com Tiago - 81 8108-7436Morgana - 41 99830 - 7834Dalvanira - 83 98697-5161Aceita trocaVenda 230 milNão financia",227693155,João Pessoa,3,1000,Aluguel - casa em rua pública,Sobrado de esquina Agua Fria,http://pb.olx.com.br/paraiba/imoveis/sobrado-de-esquina-agua-fria-227693155,1
,80,Tambaú,58039-000,,2017-12-04,"#ALUGO #TAMBAU #APARTAMENTO ✔R$ 1.600,00 ( COM CONDOMÍNIO E ÁGUA)Prédio próximo a escolas, supermercados. Portaria em horário comercial, elevador. 1 vaga de garagem, 1° andar, posição sul.📍2 Quartos sendo 1 suíte 📍Sala ampla com janelão 📍Wc social com box e projetados📍Cozinha mais área de serviço projetada.📌DCE completaAgende já uma visita Camila Camelo CRECI 8675 (83) 986225080Karla Barbalho CRECI 6978 (83) 988436662/998492464",422838334,João Pessoa,2,1600,Aluguel - apartamento padrão,"Excelente localização em Tambaú, 2qrts mais DCE, 1º andar,sul",http://pb.olx.com.br/paraiba/imoveis/excelente-localizacao-em-tambau-2qrts-mais-dce-1-andar-sul-422838334,1
,60,Bessa,58035-000,,2017-12-04,"#ALUGO #APARTAMENTO #TAMBAÚ #ÁREADELAZER #BRINQUEDOTECA #QUADRA ☑️ R$ 1.800,00 com condomínioApartamento com 65 M2, posição nascente, prédio com quadra, piscina, área kids, amplo Salão de festas, salão de jogos, brinquedoteca, portaria 24 horas. 13° Andar. 1 vaga de garagem. Fácil acesso a ônibus, farmácias e supermercados. Excelente localização. 📌2 quartos sendo 1 suíte📌cozinha com projetados📌área de serviço📌sala ampla com varanda ☎️Agende já uma visita!Camila Camelo CRECI 8675 (83) 98622-5080Karla Barbalho CRECI 6978 (83) 98843-6662 / 998492464",422841092,João Pessoa,2,1800,Aluguel - apartamento padrão,"Apartamento em Tambaú, localização privilegiada, 2qrts, 13º andar, projetados coz e ban",http://pb.olx.com.br/paraiba/imoveis/apartamento-em-tambau-localizacao-privilegiada-2qrts-13-andar-projetados-coz-e-ban-422841092,1
